"route","character","routeId","count","likeScore","id","season","enemy_character_count"
"9, 13, 14, 8, 2",4,376800,1,3,16501,0,"{0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,2,0,2,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"9, 2, 8, 13, 14",28,416951,1,0,5220,0,"{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"11, 8, 1, 14, 15",4,401807,1,0,2406,3,"{0,2,0,0,0,0,0,1,0,0,2,2,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"10, 15, 6, 3, 13, 14",21,412803,1,0,2408,0,"{0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,2,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"11, 15, 10, 2",1,326478,254,297,2397,0,"{0,224,114,82,58,47,56,118,43,54,125,216,79,33,122,64,52,62,108,77,56,170,192,132,41,34,33,54,80,57,54,170,44,165,34,18,4,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 4, 9, 12, 14",8,340098,1091,261,2410,0,"{0,1159,645,572,294,200,367,760,149,295,445,1148,369,250,459,379,279,238,631,336,305,802,940,603,266,439,123,363,339,205,256,714,272,629,269,415,425,283,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"10, 15, 6, 3",2,327442,100,130,2395,3,"{0,81,58,77,94,20,34,76,13,56,79,164,29,9,63,35,25,34,84,31,45,75,117,60,14,27,25,14,69,27,28,67,11,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"4, 13, 11, 14, 1",22,296989,12,129,2405,3,"{0,11,4,9,9,5,2,5,2,4,6,21,6,3,13,4,1,8,11,2,4,10,17,8,2,2,3,2,10,6,3,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 12, 14, 15, 5",26,335410,5,7,9621,5,"{0,6,3,2,1,3,1,2,0,1,2,6,1,0,3,3,2,2,4,2,2,2,9,4,1,2,0,1,1,0,1,3,2,3,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 8, 3, 6, 10",27,416061,3,9,5214,0,"{0,0,2,3,1,1,2,3,0,1,2,3,1,2,1,3,1,1,7,1,0,1,7,1,1,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"10, 6, 7, 15, 5",22,311469,149,29,2403,3,"{0,146,96,115,116,31,44,117,20,63,121,229,47,17,96,46,37,28,95,32,63,148,161,107,23,41,47,32,109,54,35,113,19,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"15, 7, 4, 3",4,413567,3,8,3650,3,"{0,3,3,2,3,1,0,2,1,2,1,5,0,0,4,0,0,0,7,1,2,5,5,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 4, 3",23,243913,229,237,2404,3,"{0,248,124,169,156,45,65,148,35,101,160,341,80,22,145,101,35,63,124,61,94,230,322,136,37,76,60,53,184,73,54,178,37,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"1, 14, 11, 8, 10",28,342827,68,29,2401,0,"{0,61,44,16,8,15,10,23,9,15,33,69,15,8,32,19,15,19,25,16,14,46,43,22,8,8,7,20,25,20,18,47,17,24,2,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"8, 4, 7, 2, 15",21,410874,8,5,7176,4,"{0,11,3,7,1,2,4,5,2,4,5,17,1,0,5,2,4,1,9,1,0,9,8,4,2,0,3,2,7,3,2,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"8, 2, 7, 6",2,203030,418,111,2411,0,"{0,450,223,203,115,81,128,299,79,145,215,501,136,87,182,146,108,108,302,119,95,370,393,240,89,112,42,136,188,105,121,326,84,278,119,142,102,31,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"6, 2, 8, 9, 1",3,257135,1,0,12680,0,"{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"10, 15, 6, 3",1,323855,4,39,7177,4,"{0,8,2,0,2,1,5,6,0,4,2,6,0,0,4,1,1,1,2,0,0,5,7,2,1,2,0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 4, 3",23,243913,452,237,2474,0,"{0,504,227,207,143,79,118,265,71,151,296,525,158,55,206,129,90,109,294,128,111,409,431,239,73,108,85,156,178,120,120,396,84,345,88,60,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"2, 9, 15, 6",28,406936,3,0,7169,4,"{0,6,5,1,0,0,0,2,0,1,1,2,1,0,2,2,3,1,1,1,0,2,6,4,0,1,0,2,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"2, 8, 6",9,408705,60,89,2427,0,"{0,65,29,20,30,13,26,46,16,28,34,79,18,9,30,13,18,18,48,16,14,56,66,34,13,23,8,31,28,20,18,58,10,48,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"7, 11, 8, 2",5,394955,20,52,5221,0,"{0,25,13,14,4,4,5,8,4,5,10,27,8,2,7,7,5,3,9,9,7,9,23,17,4,3,4,5,11,5,8,14,5,15,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"8, 7, 12, 3",3,409422,1138,349,2435,0,"{0,1167,641,551,308,145,332,727,195,331,505,1189,337,199,485,347,275,234,596,319,259,839,1032,612,230,391,126,330,413,230,291,791,221,621,298,367,298,245,120,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 4, 3, 12, 1",23,405281,5,23,3651,3,"{0,5,1,3,4,0,1,3,1,0,9,6,3,1,4,0,0,0,2,3,2,4,7,2,0,2,2,4,3,4,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"15, 5, 6, 9, 12",15,367387,1,0,9622,0,"{0,1,1,0,1,0,1,2,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"10, 15, 11, 2",29,361987,6,0,5222,0,"{0,6,3,4,4,2,4,3,1,2,5,12,0,1,2,0,3,1,3,5,1,2,2,6,0,2,2,2,4,2,1,6,1,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"4, 13, 12, 3, 6",23,354077,187,150,2413,0,"{0,161,91,84,63,32,41,124,31,63,109,219,69,40,79,61,33,46,118,61,41,163,182,92,22,58,25,61,82,41,55,172,35,129,40,104,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 12, 14, 11, 2",26,362595,61,45,2415,3,"{0,63,43,35,40,12,20,43,7,28,35,101,17,14,35,24,10,12,40,26,18,63,85,44,9,19,20,14,36,23,12,49,11,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"9, 15, 5, 13, 4, 12",28,355082,87,19,2432,3,"{0,91,63,81,65,26,27,53,9,49,71,130,28,20,65,29,17,21,45,26,26,78,111,74,11,25,24,17,40,25,15,53,7,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"8, 2, 7, 6, 5, 12",14,403173,1,0,5224,0,"{0,0,2,1,1,0,0,1,0,1,1,2,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"1, 14, 11, 13, 8, 2",7,451053,1,0,13202,0,"{0,0,1,0,0,1,1,2,0,1,0,2,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"9, 2, 7, 11, 8",4,441483,2,0,12681,5,"{0,3,1,0,0,0,2,1,1,2,1,3,0,0,2,0,1,1,2,0,0,1,0,2,1,2,1,0,2,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"5, 7, 3, 6",13,473821,86,265,16485,0,"{0,81,40,52,42,8,26,79,17,22,52,92,22,13,32,71,21,11,48,20,17,50,72,30,26,23,11,40,20,44,23,60,27,49,13,56,13,35,27,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 4, 14, 11, 2",23,416390,1,1,7178,4,"{0,1,1,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"9, 15, 12, 3, 6, 5",18,413910,227,44,2414,0,"{0,226,140,135,101,35,87,160,38,80,119,255,64,48,95,77,69,57,156,65,53,153,192,137,34,67,23,76,91,63,52,117,67,145,67,73,43,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"11, 13, 5, 14, 15",7,354346,2775,280,2440,0,"{0,2677,1488,1279,727,429,778,1489,371,730,1258,2872,910,394,1318,887,635,544,1414,763,696,1981,2303,1566,553,730,385,828,992,738,736,1916,514,1529,727,710,617,264,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"3, 13, 10, 15, 12",16,363002,47,205,2429,0,"{0,58,22,28,12,13,21,26,6,22,28,64,15,10,18,9,10,22,33,21,16,41,39,24,10,14,5,17,13,13,8,43,13,38,7,10,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"15, 7, 9, 3, 6",26,399922,128,27,2417,3,"{0,144,66,90,88,38,30,91,14,63,91,190,42,12,84,48,21,31,90,41,35,136,182,95,20,37,23,23,102,45,26,86,13,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"4, 1, 14, 11, 13",32,395849,109,7,2420,0,"{0,101,67,50,30,17,42,72,27,33,62,121,39,21,58,43,27,23,62,38,33,50,103,55,27,43,13,44,39,24,34,74,22,56,36,24,20,31,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"8, 11, 1, 10",4,401018,755,782,2426,3,"{0,673,501,622,410,176,221,532,104,372,576,1193,297,109,499,284,174,179,596,225,237,645,908,579,93,213,215,161,587,262,141,517,105,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"8, 11, 2, 7, 5",4,380104,13,5,9623,5,"{0,10,17,9,6,3,2,12,3,4,11,19,3,3,10,3,6,0,15,3,3,11,17,6,1,5,1,6,5,2,3,10,1,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"6, 2, 8, 10",33,408839,79,299,2422,0,"{0,68,52,35,20,11,23,44,12,30,38,93,26,10,26,30,26,13,45,24,19,60,69,42,16,19,8,35,28,20,23,65,21,46,31,12,14,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"10, 15, 6, 3",1,360976,384,89,2409,0,"{0,335,154,160,96,50,77,173,41,84,167,318,106,58,161,83,75,87,151,67,78,210,240,161,63,76,36,90,96,55,87,227,50,157,31,42,36,35,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"11, 8, 7, 9, 1",3,327959,172,1169,2425,3,"{0,156,106,102,107,31,48,125,19,84,121,275,78,22,109,65,39,44,134,40,66,170,228,158,16,40,49,34,112,59,40,105,23,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"9, 15, 6, 5, 12",19,228720,18,36,2412,3,"{0,20,13,13,13,3,3,12,1,7,16,27,5,3,9,7,3,3,11,2,10,17,21,14,4,10,4,2,13,4,6,12,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"9, 1, 4, 8",31,386913,723,74,2396,3,"{0,719,465,549,459,150,205,518,95,325,582,1089,275,86,458,270,159,183,531,195,272,654,971,546,75,181,227,157,515,260,163,375,77,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"10, 15, 6, 3, 12",33,407976,2301,2999,2473,0,"{0,2222,1211,994,539,329,601,1317,354,674,1047,2194,613,344,958,666,496,488,1093,604,540,1595,1657,1206,442,673,232,626,741,590,510,1661,448,992,584,614,369,321,112,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"10, 6, 7, 5, 12",34,473164,1,0,16503,5,"{0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,3,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"3, 6, 10, 15",11,339515,40,4,2476,3,"{0,34,27,39,24,12,9,27,2,22,33,53,10,2,24,16,2,8,34,16,13,36,57,23,15,17,9,6,30,18,8,31,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"13, 5, 11, 14, 4, 9",9,255010,66,703,2450,3,"{0,55,38,54,51,15,19,49,9,28,51,93,24,9,44,24,13,10,43,14,22,73,74,64,22,25,14,13,40,30,8,44,15,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"11, 13, 5, 14, 15",7,354346,413,280,2463,3,"{0,399,254,309,299,83,123,212,57,184,353,634,164,71,230,190,91,107,265,125,146,355,551,333,58,118,116,92,298,126,84,288,66,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
"7, 12, 6, 5",3,364942,297,17,2442,0,"{0,345,165,166,58,51,78,204,54,81,135,333,89,65,137,106,71,53,141,76,72,242,218,171,74,145,33,89,89,66,81,196,68,164,56,109,76,136,33,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
